id,osm_id,name,dtype,distance,people_local,people_total
17,59547865,сквер Героев Революции,direct,19500,5555,1078343
23,-907,Сухой лог,direct,31000,1014,1154933
25,25657738,Берёзовая роща,direct,5500,5043,500917
26,25658024,Сквер ГПНТБ,direct,4750,49944,371236
6,207882123,Сквер им. Гагарина,direct,6500,24432,434764
26,25658024,Сквер ГПНТБ,direct,11500,2041,994369
32,591,Ботанический сад СО РАН,direct,22250,13328,343386
26,25658024,Сквер ГПНТБ,direct,15250,1914,1017198
28,290224818,У моря обского,direct,27500,5324,1060492
16,25642995,Сквер Оперного театра,direct,5750,35617,522783
31,-1019,Пойма ручья в Щ,direct,16250,12007,291483
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,23250,3348,1152457
6,207882123,Сквер им. Гагарина,direct,15500,9520,1009431
9,53098200,Сквер им. Чаплыгина,direct,9000,14938,580128
26,25658024,Сквер ГПНТБ,direct,1000,10137,20181
29,53372013,ПКиО им. Ф. Дзержинского,direct,6500,34861,526852
8,53003964,Тимирязевский сквер,direct,3250,21869,197635
16,25642995,Сквер Оперного театра,direct,2000,17080,95431
19,774,Набережная (вместе),direct,13500,1497,1000523
25,25657738,Берёзовая роща,direct,500,6220,6343
17,59547865,сквер Героев Революции,direct,20250,898,1084288
22,-1094,Парк Кирова (Октябрьский р-н),direct,10500,17888,966254
23,-907,Сухой лог,direct,16750,253,1025227
25,25657738,Берёзовая роща,direct,14250,5159,1021070
31,-1019,Пойма ручья в Щ,direct,13250,12328,207261
29,53372013,ПКиО им. Ф. Дзержинского,direct,15500,10116,1015423
14,25642999,Первомайский сквер,direct,10750,8206,947577
30,53372014,Сквер авиастроителей,direct,23750,8690,1122273
8,53003964,Тимирязевский сквер,direct,11250,12752,867008
21,-1073,Сквер за оперным,direct,750,4255,11007
31,-1019,Пойма ручья в Щ,direct,10250,989,132710
13,55228146,"Парк ""Горский""",direct,19750,479,1122977
25,25657738,Берёзовая роща,direct,16250,5017,1034461
32,591,Ботанический сад СО РАН,direct,15000,1043,132462
14,25642999,Первомайский сквер,direct,10500,13668,939371
21,-1073,Сквер за оперным,direct,12000,3421,986985
22,-1094,Парк Кирова (Октябрьский р-н),direct,10750,14351,980605
1,25973057,Троицкий сквер,direct,21000,8728,1085555
13,55228146,"Парк ""Горский""",direct,16500,1359,1055766
7,41848759,Парк им.Покрышкина,direct,1250,15047,56684
31,-1019,Пойма ручья в Щ,direct,5500,37,81266
2,-512,Заельцовский парк,direct,14000,12422,929142
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,15750,3716,1006471
